Model,Star Rating,No. of Ratings,No. of Reviews,OS,,Size,Screen Size,Warranty,Color,Price
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1489,179,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"85,690"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,1943,193,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year warranty,Silver,"1,02,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,1735,325,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Grey,"65,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,383,164,Chrome Operating System,,1 Year Onsite Warranty,,1 year warranty,Black,"13,490"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,1340,187,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Black,"1,19,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,1280,187,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Black,"36,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,1197,300,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Metallic Black,"55,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1799,313,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Metallic Black,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,322,303,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"75,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,4.4,648,244,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"67,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,4.4,1678,225,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Grey,"1,04,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,1948,188,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Silver,"32,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,827,319,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Blue,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1108,160,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,379,114,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Black,"53,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,1180,193,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Metallic Black,"29,990"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,1739,150,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Blue,"28,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1479,126,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Blue,"49,690"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,515,313,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"36,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,1810,173,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Blue,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,1042,160,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year onsite warranty,Metallic Black,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,502,285,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Silver,"61,990"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,1071,130,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Grey,"76,190"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1562,318,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Silver,"32,990"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,413,111,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Grey,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,344,145,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,1 year warranty,Silver,"34,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,1082,258,Chrome Operating System,,1 Year Carry-in Warranty,,1 year warranty,Black,"16,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,1383,131,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"61,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,585,259,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"47,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1071,332,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"85,690"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,487,350,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"47,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,630,336,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year onsite warranty,Silver,"84,990"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,1709,326,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year onsite warranty,Black,"1,02,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,1148,280,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Silver,"1,19,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,732,160,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Silver,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,1151,145,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Black,"35,990"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,4.2,1298,184,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"49,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,1926,301,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Black,"52,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1390,179,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Metallic Black,"49,690"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,731,234,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Black,"76,190"
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,4.2,1665,103,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"43,800"
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,4.3,1166,318,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"44,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1243,151,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1213,346,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"47,990"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,4.2,786,316,Windows 11 Operating System,,100.63 cm (39.62 cm) Display,,2 year international warranty,Black,"36,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,1352,258,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Grey,"47,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,4.3,1853,302,Windows 11 Home Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"40,990"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,4.4,1446,211,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Silver,"58,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1285,311,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"85,690"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,377,135,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year onsite warranty,Metallic Black,"1,02,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,1881,281,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Blue,"65,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,341,153,Chrome Operating System,,1 Year Onsite Warranty,,1 year warranty,Grey,"13,490"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,1926,218,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Metallic Black,"1,19,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,792,226,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Silver,"36,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,1095,116,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Metallic Black,"55,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1805,336,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,1931,174,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"75,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,4.4,1238,257,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Metallic Black,"67,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,4.4,696,326,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Blue,"1,04,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,639,204,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Silver,"32,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,921,329,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Blue,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,292,249,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"49,990"
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU|15-fd0111TU Thin and...,4.2,503,216,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Grey,"53,990"
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,4.2,1403,142,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Black,"29,990"
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) AO 14 Z 8-415 Thin and Ligh...,4.2,1333,211,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Blue,"28,990"
MSI Katana 15 Intel Core i7 13th Gen 13620H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeF...,4.2,912,214,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"1,02,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1...",4.3,716,126,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Silver,"36,990"
Acer Swift Go 14 EVO OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) SFG14-71-...,4.3,536,136,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Silver,"59,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A,4.7,1260,145,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year onsite warranty,Grey,"84,990"
SAMSUNG Galaxy Book4 Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN ...,4.5,1790,212,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"61,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,1740,134,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Blue,"49,690"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,1027,231,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Black,"76,190"
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,4.2,594,179,64 bit Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Black,"32,490"
HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light La...,4.3,891,179,Windows 11 Operating System,,100.58 cm (39.6 cm) Display,,1 year onsite warranty,Silver,"34,990"
Lenovo Chromebook MediaTek Kompanio 520 - (8 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook Lapto...,3.7,631,312,Chrome Operating System,,1 Year Carry-in Warranty,,1 year warranty,Black,"16,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,4.4,939,253,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"61,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1526,220,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Silver,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,1329,327,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"47,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,4.2,1736,246,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Silver,"47,990"
Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXY3HN/A,4.7,706,221,Mac OS Operating System,,34.54 cm (13.6 Inch) Display,,1 year onsite warranty,Metallic Black,"84,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1232,180,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Silver,"85,690"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,332,272,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year onsite warranty,Black,"1,02,990"
Acer Aspire 3 Backlit Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) A324-51 Thin a...,4,1372,253,64 bit Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year onsite warranty,Grey,"42,990"
DELL Inspiron 3520 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 La...,4.2,398,249,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"35,990"
HP Backlit Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5002TU Thin and Ligh...,4.2,1602,218,64 bit Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Blue,"49,990"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 H...",4.2,1429,157,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"52,990"
Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,4.1,439,162,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Black,"49,690"
Lenovo LOQ Intel Core i5 12th Gen 12450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,4.4,1767,347,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Black,"76,190"
DELL Inspiron 3520 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 0IN352010031RINB1M...,4.2,1132,255,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Metallic Black,"43,800"
MSI Modern 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B7M-071IN Thi...,4.3,512,292,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Grey,"44,990"
MSI Modern 14 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12MO-444IN/...,4.3,1353,271,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,2 year international warranty,Metallic Black,"32,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,4.3,649,199,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Black,"47,990"
Lenovo IdeaPad Slim 1 AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15ALC7 Thin and...,4.2,1013,270,Windows 11 Operating System,,100.63 cm (39.62 cm) Display,,2 year international warranty,Grey,"36,990"
ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ527WS|X150...,4.2,858,264,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Black,"47,990"
ASUS Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,4.3,1533,165,Windows 11 Home Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Grey,"40,990"
HP Victus Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,4.4,1888,244,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Blue,"58,990"
Lenovo LOQ AMD Ryzen 7 Octa Core 7435HS - (24 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,4.5,1825,267,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Metallic Black,"85,690"
HP Omen AMD Ryzen 7 Octa Core 7840HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RT...,4.7,1034,265,Windows 11 Operating System,,40.89 cm (16.1 Inch) Display,,1 year warranty,Black,"1,02,990"
HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,4.3,350,184,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year warranty,Black,"65,990"
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0393 C...,3.8,1632,288,Chrome Operating System,,1 Year Onsite Warranty,,2 year international warranty,Silver,"13,490"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDI...,4.5,1653,236,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,2 year international warranty,Blue,"1,19,990"
MSI Modern 14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-440IN / ...,4.3,1069,304,Windows 11 Operating System,,35.56 cm (14 Inch) Display,,1 year warranty,Black,"36,990"
HP Victus Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForc...,4.4,1494,302,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,1 year onsite warranty,Metallic Black,"55,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1069,288,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year warranty,Blue,"49,990"
SAMSUNG Galaxy Book4 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN ...,4.5,669,307,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,1 year onsite warranty,Black,"75,990"
Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA G...,4.4,373,243,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Metallic Black,"67,990"
Acer Predator Neo Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDI...,4.4,671,222,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Silver,"1,04,990"
MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Busines...,4.2,1504,101,Windows 11 Operating System,,39.62 cm (15.6 inch) Display,,2 year international warranty,Silver,"32,990"
MSI Crosshair 16 HX Intel Core i7 14th Gen 14700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVI...,No rating,1963,205,Windows 11 Operating System,,40.64 cm (16 Inch) Display,,1 year onsite warranty,Metallic Black,"1,40,990"
MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,4.3,1336,207,Windows 11 Operating System,,39.62 cm (15.6 Inch) Display,,2 year international warranty,Blue,"49,990"
